Gene name,Gene stable ID,Transcript stable ID
n-R5s198,ENSMUSG00000084574,ENSMUST00000122625
n-R5s15,ENSMUSG00000084584,ENSMUST00000122635
n-R5s174,ENSMUSG00000084587,ENSMUST00000122638
n-R5s68,ENSMUSG00000084588,ENSMUST00000122639
n-R5s188,ENSMUSG00000084595,ENSMUST00000122646
n-R5s70,ENSMUSG00000084599,ENSMUST00000122650
n-R5s34,ENSMUSG00000084602,ENSMUST00000122653
n-R5s6,ENSMUSG00000084612,ENSMUST00000122663
n-R5s164,ENSMUSG00000084613,ENSMUST00000122664
n-R5s189,ENSMUSG00000084624,ENSMUST00000122675
n-R5s159,ENSMUSG00000084630,ENSMUST00000122681
n-R5s14,ENSMUSG00000084637,ENSMUST00000122688
n-R5s21,ENSMUSG00000084641,ENSMUST00000122692
n-R5s76,ENSMUSG00000084649,ENSMUST00000122700
n-R5s150,ENSMUSG00000084654,ENSMUST00000122705
n-R5s61,ENSMUSG00000084660,ENSMUST00000122711
n-R5s191,ENSMUSG00000084673,ENSMUST00000122724
n-R5s43,ENSMUSG00000084688,ENSMUST00000122739
n-R5s18,ENSMUSG00000084689,ENSMUST00000122740
n-R5s87,ENSMUSG00000084701,ENSMUST00000122752
n-R5s216,ENSMUSG00000084704,ENSMUST00000122755
n-R5s63,ENSMUSG00000084705,ENSMUST00000122756
n-R5s187,ENSMUSG00000084718,ENSMUST00000122769
n-R5s19,ENSMUSG00000084742,ENSMUST00000122793
n-R5s124,ENSMUSG00000093893,ENSMUST00000180334
n-R5s195,ENSMUSG00000093952,ENSMUST00000082891
n-R5s127,ENSMUSG00000093960,ENSMUST00000179185
n-R5s128,ENSMUSG00000094003,ENSMUST00000180096
n-R5s111,ENSMUSG00000094097,ENSMUST00000178203
n-R5s118,ENSMUSG00000094178,ENSMUST00000179887
n-R5s109,ENSMUSG00000094265,ENSMUST00000179195
n-R5s129,ENSMUSG00000094455,ENSMUST00000180122
n-R5s106,ENSMUSG00000094537,ENSMUST00000179060
n-R5s92,ENSMUSG00000094630,ENSMUST00000082810
n-R5s142,ENSMUSG00000094657,ENSMUST00000178820
n-R5s100,ENSMUSG00000094720,ENSMUST00000178106
n-R5s139,ENSMUSG00000094760,ENSMUST00000178975
n-R5s113,ENSMUSG00000094801,ENSMUST00000179143
n-R5s166,ENSMUSG00000094823,ENSMUST00000082898
n-R5s194,ENSMUSG00000094830,ENSMUST00000104719
n-R5s122,ENSMUSG00000094956,ENSMUST00000179500
n-R5s101,ENSMUSG00000095073,ENSMUST00000177910
n-R5s167,ENSMUSG00000095102,ENSMUST00000083227
n-R5s110,ENSMUSG00000095131,ENSMUST00000179995
n-R5s138,ENSMUSG00000095183,ENSMUST00000179476
n-R5s103,ENSMUSG00000095249,ENSMUST00000178755
n-R5s209,ENSMUSG00000095256,ENSMUST00000179494
n-R5s121,ENSMUSG00000095410,ENSMUST00000177589
n-R5s112,ENSMUSG00000095449,ENSMUST00000178208
n-R5s149,ENSMUSG00000095453,ENSMUST00000178520
n-R5s86,ENSMUSG00000095631,ENSMUST00000083215
n-R5s143,ENSMUSG00000095645,ENSMUST00000179542
n-R5s123,ENSMUSG00000095652,ENSMUST00000178804
n-R5s141,ENSMUSG00000095749,ENSMUST00000178066
n-R5s115,ENSMUSG00000095915,ENSMUST00000179019
n-R5s210,ENSMUSG00000095944,ENSMUST00000177688
